ID.v,00,01,02,03,04,05,06,07,08,09,Detection
1,1,1,1,1,1,1,1,1,1,1,Yes
2,0,0,0,0,0,0,0,0,0,0,No
3,1,1,1,0,1,1,1,1,1,1,Yes
4,1,1,1,1,1,1,1,1,1,1,Yes
5,1,1,1,1,1,1,0,1,1,1,Yes
6,1,1,1,1,1,1,1,1,1,1,Yes
7,0,0,0,0,0,0,0,0,0,0,No
8,1,1,1,1,0,0,1,0,0,1,Yes
9,0,0,0,0,0,0,0,0,0,0,No
10,0,0,0,0,0,0,0,0,0,0,No
11,1,1,0,0,1,1,1,1,1,1,Yes
12,1,0,1,1,0,1,0,0,1,1,Yes
14,1,1,1,1,1,1,1,1,1,1,Yes
15,0,0,0,0,0,0,0,0,0,0,No
16,0,0,0,0,0,0,0,0,0,1,Yes
17,0,0,0,0,0,0,0,0,0,0,No
18,0,0,0,0,0,0,0,0,0,0,No
19,0,0,0,0,0,1,0,0,0,0,Yes
20,0,0,0,0,0,0,0,0,0,0,No
21,0,1,0,0,0,0,1,1,0,1,Yes
22,1,1,1,1,1,1,1,1,1,1,Yes
23,1,1,1,1,1,1,1,0,0,1,Yes
24,1,1,1,1,1,1,1,1,1,1,Yes
25,0,1,0,0,0,0,0,0,0,0,Yes
26,0,1,1,0,0,1,0,0,1,1,Yes
27,1,0,0,1,1,0,0,1,1,1,Yes
28,0,0,0,0,0,0,0,0,0,0,No
29,1,1,1,1,1,1,1,1,1,1,Yes
30,1,1,0,0,1,0,0,0,0,0,Yes
32,1,1,1,1,1,1,1,1,1,1,Yes
33,0,0,0,0,0,0,0,0,0,0,No
34,0,0,0,0,0,0,0,0,0,0,No
35,1,1,1,1,1,1,1,1,1,1,Yes
36,1,0,1,1,1,1,0,1,1,1,Yes
37,1,1,1,1,1,1,1,1,1,1,Yes
38,1,0,0,0,0,0,1,1,0,0,Yes
39,1,0,1,1,0,1,1,1,1,1,Yes
40,1,1,1,1,1,1,1,1,1,1,Yes
41,0,0,0,0,0,0,0,0,0,0,No
42,1,0,0,1,0,0,1,0,1,1,Yes
43,0,0,0,0,0,0,0,0,0,0,No
44,0,0,0,0,0,0,0,0,0,0,No
45,1,1,1,1,1,1,1,1,1,1,Yes
46,1,1,1,1,1,1,1,1,1,1,Yes
47,1,1,1,1,1,1,1,1,1,1,Yes
48,1,0,1,1,1,1,1,1,1,1,Yes
49,0,0,0,1,0,0,0,0,0,0,Yes
50,0,1,0,0,0,0,1,0,0,1,Yes
51,1,1,1,0,1,1,0,1,0,1,Yes
52,0,0,0,0,0,1,0,1,0,0,Yes
53,0,0,0,0,0,0,0,0,0,0,No
54,0,0,0,0,0,0,0,0,0,0,No
55,1,1,0,1,1,1,0,1,1,1,Yes
56,1,1,0,1,1,1,1,1,1,1,Yes
57,0,0,0,0,0,0,0,1,0,0,Yes
58,0,0,0,0,0,0,0,0,0,0,No
59,1,1,1,1,1,1,1,1,1,1,Yes
60,1,1,1,1,0,1,1,0,1,1,Yes
61,1,1,1,1,1,1,1,1,1,1,Yes
62,0,1,1,0,1,0,1,1,0,1,Yes
63,1,0,1,1,1,0,0,0,0,1,Yes
64,0,0,0,0,0,0,1,0,1,0,Yes
65,0,0,0,0,0,0,0,0,0,0,No
66,1,1,1,1,1,1,1,1,1,1,Yes
67,0,0,0,0,0,0,0,0,0,0,No
68,0,0,0,0,0,0,0,0,0,0,No
69,0,0,0,0,0,0,0,0,0,0,No
70,1,1,1,0,0,0,1,1,0,0,Yes
71,1,1,1,1,1,1,1,1,1,1,Yes
72,1,0,1,0,1,0,0,1,0,0,Yes
73,1,1,1,1,1,1,1,1,1,1,Yes
74,0,0,0,0,0,0,0,0,0,0,No
75,0,0,0,0,0,0,0,0,0,0,No
76,0,0,0,0,0,0,0,0,0,0,No
77,1,1,1,1,0,1,1,0,1,1,Yes
78,0,0,0,0,0,1,0,1,0,0,Yes
79,0,0,0,0,0,0,0,0,0,0,No
80,0,0,1,0,1,0,1,1,0,0,Yes
81,0,0,0,1,0,0,0,0,0,0,Yes
82,0,0,0,0,0,0,0,0,0,0,No
83,0,0,1,1,1,1,0,1,0,0,Yes
84,1,1,1,1,1,1,1,1,1,1,Yes
85,1,1,1,1,1,1,1,1,1,1,Yes
86,1,0,0,1,0,0,1,1,1,1,Yes
87,1,1,1,1,1,1,1,1,1,1,Yes
88,0,0,0,0,0,0,0,0,0,0,No
89,1,1,1,1,1,1,1,1,1,1,Yes
90,0,1,1,1,0,1,0,0,1,0,Yes
91,0,0,0,0,0,0,0,0,0,0,No
92,1,1,1,1,1,1,1,1,1,1,Yes
93,1,0,1,1,0,1,0,0,1,0,Yes
94,1,1,0,1,1,0,1,1,1,1,Yes
95,1,1,1,1,1,1,1,1,1,1,Yes
96,0,1,0,0,0,0,0,0,0,0,Yes
97,1,1,1,1,1,1,1,1,1,1,Yes
98,1,0,1,1,1,1,1,1,1,1,Yes
99,1,1,1,1,1,1,1,1,1,1,Yes
100,0,0,0,0,0,0,0,0,0,0,No
101,1,1,1,1,1,1,1,1,1,1,Yes
102,1,1,1,1,1,1,1,1,1,1,Yes
103,0,1,0,0,0,0,0,0,0,0,Yes
104,0,1,1,1,1,0,1,1,1,0,Yes
105,0,1,0,0,1,0,0,1,1,0,Yes
106,1,0,0,0,0,0,0,1,0,0,Yes
